Index,BWTDA,Area de Salida,Fecha,Orden/Pedido,Año,Mes,Dia,Bultos,Dia sem,Contenedores,Registro Valido,% Registro Valido
1,3,Seco,44930,7183759,2023,1,4,867.0,3,18,OK,1.0
3,3,Seco,44931,7184288,2023,1,5,351.0,4,11,OK,1.0
5,3,Seco,44933,7186440,2023,1,7,652.0,6,10,OK,1.0
9,3,Seco,44935,7187095,2023,1,9,736.0,1,10,OK,1.0
13,3,Seco,44937,7188920,2023,1,11,849.0,3,20,OK,1.0
16,3,Seco,44938,7190095,2023,1,12,792.0,4,17,OK,1.0
17,3,Seco,44938,7190201,2023,1,12,609.0,4,10,OK,1.0
21,3,Seco,44940,7191553,2023,1,14,715.0,6,15,OK,1.0
25,3,Seco,44942,7192237,2023,1,16,762.0,1,15,OK,1.0
28,3,Seco,44944,7194376,2023,1,18,1057.0,3,19,OK,1.0
33,3,Seco,44945,7194969,2023,1,19,502.0,4,4,OK,1.0
37,3,Seco,44947,7196807,2023,1,21,177.0,6,1,OK,1.0
38,3,Seco,44947,7196992,2023,1,21,969.0,6,14,OK,1.0
42,3,Seco,44949,7197692,2023,1,23,862.0,1,11,OK,1.0
45,3,Seco,44951,7199298,2023,1,25,844.0,3,12,OK,1.0
49,3,Seco,44952,7200666,2023,1,26,949.0,4,20,OK,1.0
51,3,Seco,44954,7202241,2023,1,28,1022.0,6,14,OK,1.0
54,3,Seco,44957,7204675,2023,1,31,1175.0,2,23,OK,1.0
60,3,Seco,44958,7205660,2023,2,1,982.0,3,19,OK,1.0
64,3,Seco,44960,7206853,2023,2,3,1200.0,5,11,OK,1.0
67,3,Seco,44961,7207838,2023,2,4,1142.0,6,13,OK,1.0
70,3,Seco,44964,7210269,2023,2,7,1105.0,2,16,OK,1.0
74,3,Seco,44965,7211265,2023,2,8,458.0,3,11,OK,1.0
78,3,Seco,44967,7213169,2023,2,10,944.0,5,12,OK,1.0
82,3,Seco,44968,7214055,2023,2,11,711.0,6,17,OK,1.0
85,3,Seco,44971,7215502,2023,2,14,1469.0,2,24,OK,1.0
88,3,Seco,44973,7217695,2023,2,16,712.0,4,9,OK,1.0
90,3,Seco,44977,7220044,2023,2,20,592.0,1,7,OK,1.0
93,3,Seco,44979,7222449,2023,2,22,710.0,3,8,OK,1.0
96,3,Seco,44980,7223072,2023,2,23,240.0,4,8,OK,1.0
99,3,Seco,44982,7225491,2023,2,25,652.0,6,9,OK,1.0
100,3,Seco,44982,7225505,2023,2,25,44.0,6,1,OK,1.0
103,3,Seco,44984,7226290,2023,2,27,345.0,1,7,OK,1.0
105,5,Seco,44929,7182634,2023,1,3,938.0,2,18,OK,1.0
106,5,Seco,44929,7182643,2023,1,3,54.0,2,1,OK,1.0
110,5,Seco,44931,7184243,2023,1,5,822.0,4,18,OK,1.0
111,5,Seco,44931,7184249,2023,1,5,56.0,4,1,OK,1.0
116,5,Seco,44933,7186139,2023,1,7,739.0,6,12,OK,1.0
121,5,Seco,44936,7187834,2023,1,10,926.0,2,20,OK,1.0
125,5,Seco,44938,7189768,2023,1,12,648.0,4,15,OK,1.0
129,5,Seco,44940,7191438,2023,1,14,161.0,6,1,OK,1.0
130,5,Seco,44940,7191558,2023,1,14,1226.0,6,22,OK,1.0
134,5,Seco,44943,7193129,2023,1,17,1031.0,2,16,OK,1.0
139,5,Seco,44945,7194951,2023,1,19,817.0,4,15,OK,1.0
144,5,Seco,44947,7196357,2023,1,21,950.0,6,14,OK,1.0
145,5,Seco,44947,7196666,2023,1,21,41.0,6,1,OK,1.0
149,5,Seco,44950,7198230,2023,1,24,941.0,2,15,OK,1.0
153,5,Seco,44951,7199542,2023,1,25,664.0,3,8,OK,1.0
157,5,Seco,44953,7201145,2023,1,27,802.0,5,11,OK,1.0
